URL,Keyword,Clicks,Impressions,CTR,Position
https://mbt.com.vn/?video=sex%20pi%20ti%C3%AAn,sex pitiên,7,15,0.4666666666666667,3.7333333333333334
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?hot=phim%20sex%20t%E1%BA%ADp%20th%E1%BB%83,sex tap the,7,28,0.25,3.5
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?ios=phim%20sexmoi,sexmoi,7,57,0.12280701754385964,8.210526315789473
https://mbt.com.vn/?video=sex%20pi%20ti%C3%AAn,sexpi tiên,7,21,0.3333333333333333,5.190476190476191
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?game=video%20sex,video sex,7,15,0.4666666666666667,1.1333333333333333
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?play=b%C3%BAp%20b%C3%AA%20t%C3%ACnh%20d%E1%BB%A5c%20sex,búp bê tình dục sex,6,56,0.10714285714285714,4.696428571428571
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?hot=jav%20sex,jav sex,6,110,0.05454545454545454,3.018181818181818
https://mbt.com.vn/?top=link%20sex%20vn,linksex vn,6,105,0.05714285714285714,6.523809523809524
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?bet=phim%20sex%20l%C3%A1i%20m%C3%A1y%20bay%20b%C3%A0%20gi%C3%A0,máy bay bà già sex,6,15,0.4,3.066666666666667
https://mbt.com.vn/tin-tuc/day-chuyen-san-xuat-may-bien-ap-cong-nghe-cua-mbt?produc_id=phim%20sex%20g%C3%A1i%20xinh%20g%C3%A1i%20%C4%91%E1%BA%B9p,phim sex gái xinh,6,21,0.2857142857142857,4.095238095238095
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?video=phim%20sex%20ko%20che,phim sex không che,6,72,0.08333333333333333,6.138888888888889
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?hot=phim%20sex%20%C3%A2u%20m%E1%BB%B9,sex au,6,182,0.03296703296703297,7.197802197802198
https://mbt.com.vn/tin-tuc/thach-thuc-chuyen-doi-nang-luong-tai-viet-nam?video=b%C3%BAp%20b%C3%AA%20t%C3%ACnh%20d%E1%BB%A5c%20xxx,sex búp bê tình dục,6,120,0.05,8.55
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?video=phim%20sex%20nhat%20ban,sex nhat,6,61,0.09836065573770492,5.836065573770492
https://mbt.com.vn/tin-tuc/tuyen-dung-ky-thuat-vien-san-xuat?keyword=phim%20sex%20gai%20xinh%20nhat%20ban,sex nhat,6,61,0.09836065573770492,5.065573770491803
https://mbt.com.vn/?app=sex%20th%E1%BB%B1c%20t%E1%BA%BF,sex thuc te,6,76,0.07894736842105263,6.894736842105263
https://mbt.com.vn/?video=sex%20pi%20ti%C3%AAn,sex việt nam pi tiên,6,6,1.0,3.5
https://mbt.com.vn/tin-tuc/catalogue-may-bien-ap-mbt?ios=sex%20hay%20nh%E1%BA%A5t%20trung%20qu%E1%BB%91c,sexhay,6,100,0.06,5.84
https://mbt.com.vn/tin-tuc/may-bien-ap-mot-pha-luu-y-lap-dat-bien-ap?produc_id=sex%20khong%20che%20nh%E1%BA%ADt,sexkhongche,6,53,0.11320754716981132,8.377358490566039
